id,province,city,area,street,name
1,北京市,,,,北京市
2,北京市,北京市,,,市辖区
3,北京市,北京市,东城区       ,,东城区
21,北京市,北京市,西城区       ,,西城区
37,北京市,北京市,朝阳区       ,,朝阳区
81,北京市,北京市,丰台区       ,,丰台区
101,北京市,北京市,丰台区       ,长辛店镇,长辛店镇
102,北京市,北京市,丰台区       ,王佐镇,王佐镇
103,北京市,北京市,石景山区      ,,石景山区
113,北京市,北京市,海淀区       ,,海淀区
143,北京市,北京市,门头沟区      ,,门头沟区
151,北京市,北京市,门头沟区      ,潭柘寺镇,潭柘寺镇
152,北京市,北京市,门头沟区      ,军庄镇,军庄镇
153,北京市,北京市,门头沟区      ,雁翅镇,雁翅镇
154,北京市,北京市,门头沟区      ,斋堂镇,斋堂镇
155,北京市,北京市,门头沟区      ,清水镇,清水镇
156,北京市,北京市,门头沟区      ,妙峰山镇,妙峰山镇
157,北京市,北京市,房山区       ,,房山区
169,北京市,北京市,房山区       ,阎村镇,阎村镇
170,北京市,北京市,房山区       ,窦店镇,窦店镇
171,北京市,北京市,房山区       ,石楼镇,石楼镇
172,北京市,北京市,房山区       ,长阳镇,长阳镇
173,北京市,北京市,房山区       ,河北镇,河北镇
174,北京市,北京市,房山区       ,长沟镇,长沟镇
175,北京市,北京市,房山区       ,大石窝镇,大石窝镇
176,北京市,北京市,房山区       ,张坊镇,张坊镇
177,北京市,北京市,房山区       ,十渡镇,十渡镇
178,北京市,北京市,房山区       ,青龙湖镇,青龙湖镇
179,北京市,北京市,房山区       ,韩村河镇,韩村河镇
180,北京市,北京市,房山区       ,霞云岭乡,霞云岭乡
181,北京市,北京市,房山区       ,南窖乡,南窖乡
182,北京市,北京市,房山区       ,佛子庄乡,佛子庄乡
183,北京市,北京市,房山区       ,大安山乡,大安山乡
184,北京市,北京市,房山区       ,史家营乡,史家营乡
185,北京市,北京市,房山区       ,蒲洼乡,蒲洼乡
186,北京市,北京市,通州区       ,,通州区
193,北京市,北京市,通州区       ,宋庄镇,宋庄镇
194,北京市,北京市,通州区       ,张家湾镇,张家湾镇
195,北京市,北京市,通州区       ,漷县镇,漷县镇
196,北京市,北京市,通州区       ,马驹桥镇,马驹桥镇
197,北京市,北京市,通州区       ,西集镇,西集镇
198,北京市,北京市,通州区       ,台湖镇,台湖镇
199,北京市,北京市,通州区       ,永乐店镇,永乐店镇
200,北京市,北京市,通州区       ,潞城镇,潞城镇
201,北京市,北京市,通州区       ,于家务回族乡,于家务回族乡
202,北京市,北京市,顺义区       ,,顺义区
216,北京市,北京市,顺义区       ,高丽营镇,高丽营镇
217,北京市,北京市,顺义区       ,李桥镇,李桥镇
218,北京市,北京市,顺义区       ,李遂镇,李遂镇
219,北京市,北京市,顺义区       ,南彩镇,南彩镇
